"idBank";"Dernière mise à jour";"Autres regroupements";"﻿Base de l'indice";"Correction";"IDBANK pour sdmx";"Activité";"Zone géographique";"Nature";"Puissance";"Indicateur";"Unité";"Périodicité"
"010537276";"05/04/2022 08:45";"Sans objet";"2015";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"BDM_EUR";"10.72 - Fabrication de biscuits, biscottes et pâtisseries de conservation";"France métropolitaine";"Indice";"0";"Indice de la production industrielle";"sans objet";"Mensuelle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
